Ruta,total_sesiones,kms_totales,kms_promedio,minutos_totales,minutos_promedio,vel_media_kmh,max_kms_en_una_sesion,min_kms_en_una_sesion
Chapultepec III y II - TSC,8,283.7,35.46,956,119.5,17.85,40.34,28.82
Lunch Ride,20,259.97,13.0,943,47.1,16.55,22.4,1.45
Evening Ride,26,195.88,7.53,874,33.6,13.87,64.31,1.32
Cycling,21,153.52,7.31,485,23.1,19.06,16.09,2.56
Afternoon Ride,29,150.89,5.2,685,23.6,13.52,18.73,0.9
CCO - PCC,1,145.74,145.74,517,517.0,16.91,145.74,145.74
Tres Marías - PCC,1,130.63,130.63,451,451.0,17.38,130.63,130.63
Fierro de Toro/Tres Marías - Husky Bikers/Team Taquitos,1,129.62,129.62,447,447.0,17.4,129.62,129.62
"San Cristóbal Zacacalco, Tlax - PCC",1,125.72,125.72,355,355.0,21.25,125.72,125.72
Parque Ecológico de Texcoco con KaxaBike - Pedrink Cycling Club,1,107.76,107.76,289,289.0,22.37,107.76,107.76
Mirador de San Pablo Ixayoc - PCC,1,101.73,101.73,325,325.0,18.78,101.73,101.73
"Restaurante Empireo, Edo Mex - Pedrink Cycling Club",1,93.68,93.68,324,324.0,17.35,93.68,93.68
Líneas 12 y 8 del Metro - Chayito Baikers,1,81.18,81.18,240,240.0,20.3,81.18,81.18
Tulyehualco - Fenix Bikers,1,79.49,79.49,237,237.0,20.12,79.49,79.49
Tepozotlán - Freebikes,1,79.3,79.3,217,217.0,21.93,79.3,79.3
Día del niño - Team Taquitos,1,78.28,78.28,302,302.0,15.55,78.28,78.28
GPS Cycling,6,77.95,12.99,318,53.0,16.96,44.39,1.01
Timoteos - Team Taquitos,1,75.61,75.61,243,243.0,18.67,75.61,75.61
Parque Triángulos - Team Taquitos,1,70.71,70.71,221,221.0,19.2,70.71,70.71
Línea 5 y B del Metro - Chayito Baikers,1,70.05,70.05,202,202.0,20.81,70.05,70.05
Night Ride,6,69.79,11.63,202,33.7,15.88,60.05,1.1
